/00 - Health | GET {{base_url}}/health | Health check
/21 - Redes Sociales | GET {{base_url}}/comercios/redes-sociales | Instagram ya activa por registro (Comercio A) - obtener su id
/21 - Redes Sociales | POST {{base_url}}/comercios/redes-sociales | [negativo] Agregar red social de tipo ya activo (Instagram otra vez)
/21 - Redes Sociales | POST {{base_url}}/comercios/redes-sociales | Agregar red social 2 - Facebook (Comercio A)
/21 - Redes Sociales | POST {{base_url}}/comercios/redes-sociales | Agregar red social 3 - TikTok (Comercio A)
/21 - Redes Sociales | POST {{base_url}}/comercios/redes-sociales | Agregar red social 4 - WhatsApp (Comercio A)
/21 - Redes Sociales | POST {{base_url}}/comercios/redes-sociales | Agregar red social 5 - X (Comercio A)
/21 - Redes Sociales | POST {{base_url}}/comercios/redes-sociales | [negativo] Agregar red social 6 - Sitio Web (excede limite de 5 activas)
/21 - Redes Sociales | GET {{base_url}}/comercios/redes-sociales | Listar redes sociales activas (Comercio A, confirma 5)
/21 - Redes Sociales | DELETE {{base_url}}/comercios/redes-sociales/{{red_social_tiktok_id}} | Dar de baja red social TikTok (Comercio A)
/21 - Redes Sociales | GET {{base_url}}/comercios/redes-sociales | Listar redes sociales activas confirma 4 tras la baja
/21 - Redes Sociales | POST {{base_url}}/comercios/redes-sociales | Agregar red social TikTok de nuevo (tipo previamente dado de baja, debe permitir)
/21 - Redes Sociales | PUT {{base_url}}/comercios/redes-sociales/{{red_social_id}} | Editar red social propia (Comercio A cambia la url de su Instagram)
/21 - Redes Sociales | GET {{base_url}}/comercios/redes-sociales | Instagram ya activa por registro (Comercio B) - obtener su id
/21 - Redes Sociales | PUT {{base_url}}/comercios/redes-sociales/{{red_social_b_id}} | [negativo] Comercio A intenta editar red social de Comercio B (tenant isolation)
/21 - Redes Sociales | DELETE {{base_url}}/comercios/redes-sociales/{{red_social_b_id}} | [negativo] Comercio A intenta dar de baja red social de Comercio B (tenant isolation)
/21 - Redes Sociales | POST {{base_url}}/comercios/redes-sociales | [negativo] Agregar red social con url solo espacios
/21 - Redes Sociales | POST {{base_url}}/comercios/redes-sociales | [negativo] Agregar red social con url solo numeros
/21 - Redes Sociales | POST {{base_url}}/comercios/redes-sociales | [negativo] Agregar red social con url solo caracteres especiales
/21 - Redes Sociales | POST {{base_url}}/comercios/redes-sociales | [negativo] Agregar red social con url sin punto
/21 - Redes Sociales | GET {{base_url}}/comercios/redes-sociales | [negativo] GET redes-sociales sin token
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - nombre vacio
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - nombre formato invalido (numeros)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - nombre formato invalido (caracteres especiales)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - nombre limite superior exacto (100 caracteres, debe aceptar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - nombre por encima del limite (101 caracteres, debe rechazar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - apellido vacio
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - apellido formato invalido (numeros)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - apellido formato invalido (caracteres especiales)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - apellido limite superior exacto (100 caracteres, debe aceptar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - apellido por encima del limite (101 caracteres, debe rechazar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - dni vacio
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - dni formato invalido (letras)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - dni formato invalido (12 digitos)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - dni limite inferior menos uno (6 digitos, debe rechazar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - dni limite superior mas uno (9 digitos, debe rechazar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - dni con separadores (puntos, sanitiza y acepta)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - fechaNacimiento vacia (null)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - fechaNacimiento futura (debe rechazar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - fechaNacimiento hace 121 anios (debe rechazar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - fechaNacimiento hoy mismo (limite exacto, debe aceptar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - telefono vacio
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - telefono formato invalido (sin prefijo +549)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - telefono formato invalido (cantidad de digitos incorrecta)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - telefono con separadores (espacios y guiones, sanitiza y acepta)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - email vacio
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - email formato invalido (sin arroba)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - email formato invalido (sin dominio)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - email limite superior exacto (254 caracteres, debe aceptar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - email por encima del limite (255 caracteres, debe rechazar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - password vacia
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - password formato invalido (sin mayuscula)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - password formato invalido (sin numero)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - password limite inferior menos uno (7 caracteres, debe rechazar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - password limite superior exacto (72 caracteres, debe aceptar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - password por encima del limite (73 caracteres, debe rechazar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.calle vacia
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.calle formato invalido (solo caracteres especiales)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.calle limite superior exacto (150 caracteres, debe aceptar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.calle por encima del limite (151 caracteres, debe rechazar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.numero vacio
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.numero formato invalido (letras)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.numero formato invalido (caracteres especiales)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.numero limite superior exacto (10 digitos, debe aceptar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.numero por encima del limite (11 digitos, debe rechazar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.pisoDepto formato invalido (solo caracteres especiales)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.pisoDepto limite superior exacto (30 caracteres, debe aceptar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.pisoDepto por encima del limite (31 caracteres, debe rechazar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.pisoDepto vacio (opcional, debe aceptar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.codigoPostal vacio
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.codigoPostal formato invalido (3 digitos)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.codigoPostal formato invalido (5 digitos)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.codigoPostal formato CPA valido (8 caracteres, debe aceptar)
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - direccion.localidadId vacio
/22 - Matriz Cliente - Registro (campo por campo) | POST {{base_url}}/auth/registro/cliente | Registro Cliente - sin aceptaTerminos (campo solo frontend, backend debe aceptar igual)
/23 - Matriz Cliente - Login | POST {{base_url}}/auth/login | Login - email vacio
/23 - Matriz Cliente - Login | POST {{base_url}}/auth/login | Login - email formato invalido
/23 - Matriz Cliente - Login | POST {{base_url}}/auth/login | Login - password vacia
/24 - Matriz Cliente - Verificacion de cuenta | POST {{base_url}}/auth/verificar | Verificar cuenta - email vacio
/24 - Matriz Cliente - Verificacion de cuenta | POST {{base_url}}/auth/verificar | Verificar cuenta - email formato invalido
/24 - Matriz Cliente - Verificacion de cuenta | POST {{base_url}}/auth/verificar | Verificar cuenta - codigo vacio
/24 - Matriz Cliente - Verificacion de cuenta | POST {{base_url}}/auth/verificar | Verificar cuenta - codigo formato invalido (letras)
/24 - Matriz Cliente - Verificacion de cuenta | POST {{base_url}}/auth/verificar | Verificar cuenta - codigo longitud corta (5 digitos)
/24 - Matriz Cliente - Verificacion de cuenta | POST {{base_url}}/auth/verificar | Verificar cuenta - codigo longitud larga (7 digitos)
/24 - Matriz Cliente - Verificacion de cuenta | POST {{base_url}}/auth/reenviar-verificacion | Reenviar verificacion - email vacio
/24 - Matriz Cliente - Verificacion de cuenta | POST {{base_url}}/auth/reenviar-verificacion | Reenviar verificacion - email formato invalido
/24 - Matriz Cliente - Verificacion de cuenta | POST {{base_url}}/auth/registro/cliente | Setup - Registro Cliente para verificacion real (matriz)
/24 - Matriz Cliente - Verificacion de cuenta | GET {{base_url}}/test/token?email=postman.matrizverifreal@bajonea.test&tipo=VERIFICACION_EMAIL | Setup - Obtener codigo real de verificacion (matriz)
/24 - Matriz Cliente - Verificacion de cuenta | POST {{base_url}}/auth/verificar | Verificar cuenta - codigo real de 6 digitos (debe aceptar)
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password | Recuperar password - email vacio
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password | Recuperar password - email formato invalido
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password/validar-codigo | Recuperar password validar-codigo - email vacio
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password/validar-codigo | Recuperar password validar-codigo - email formato invalido
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password/validar-codigo | Recuperar password validar-codigo - codigo vacio
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password/validar-codigo | Recuperar password validar-codigo - codigo formato invalido (letras)
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password/validar-codigo | Recuperar password validar-codigo - codigo longitud corta (5 digitos)
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password/validar-codigo | Recuperar password validar-codigo - codigo longitud larga (7 digitos)
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password/confirmar | Recuperar password confirmar - nuevaPassword vacia
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password/confirmar | Recuperar password confirmar - nuevaPassword sin mayuscula
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password/confirmar | Recuperar password confirmar - nuevaPassword sin numero
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password/confirmar | Recuperar password confirmar - nuevaPassword limite inferior menos uno (7 caracteres)
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password/confirmar | Recuperar password confirmar - nuevaPassword 73 caracteres (sin @Size explicito, ver mensaje real)
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/registro/cliente | Setup - Registro Cliente para recuperacion real (matriz)
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password | Setup - Solicitar recuperacion real (matriz)
/25 - Matriz Cliente - Recuperacion de password | GET {{base_url}}/test/token?email=postman.matrizrecupreal@bajonea.test&tipo=RECUPERACION_PASSWORD | Setup - Obtener codigo real de recuperacion (matriz)
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password/validar-codigo | Recuperar password validar-codigo - codigo real (debe aceptar)
/25 - Matriz Cliente - Recuperacion de password | POST {{base_url}}/auth/recuperar-password/confirmar | Recuperar password confirmar - nuevaPassword limite superior exacto (72 caracteres, flujo real, debe aceptar)
/26 - Matriz Cliente - Reactivacion de cuenta | POST {{base_url}}/auth/reactivar-cuenta | Reactivar cuenta - email vacio
/26 - Matriz Cliente - Reactivacion de cuenta | POST {{base_url}}/auth/reactivar-cuenta | Reactivar cuenta - email formato invalido
/26 - Matriz Cliente - Reactivacion de cuenta | POST {{base_url}}/auth/reactivar-cuenta/confirmar | Reactivar cuenta confirmar - email vacio
/26 - Matriz Cliente - Reactivacion de cuenta | POST {{base_url}}/auth/reactivar-cuenta/confirmar | Reactivar cuenta confirmar - email formato invalido
/26 - Matriz Cliente - Reactivacion de cuenta | POST {{base_url}}/auth/reactivar-cuenta/confirmar | Reactivar cuenta confirmar - codigo vacio
/26 - Matriz Cliente - Reactivacion de cuenta | POST {{base_url}}/auth/reactivar-cuenta/confirmar | Reactivar cuenta confirmar - codigo formato invalido (letras)
/26 - Matriz Cliente - Reactivacion de cuenta | POST {{base_url}}/auth/reactivar-cuenta/confirmar | Reactivar cuenta confirmar - codigo longitud corta (5 digitos)
/27 - Matriz Cliente - Perfil (datos personales) | POST {{base_url}}/auth/registro/cliente | Setup - Registro Cliente (matriz perfil)
/27 - Matriz Cliente - Perfil (datos personales) | GET {{base_url}}/test/token?email=postman.matrizperfil@bajonea.test&tipo=VERIFICACION_EMAIL | Setup - Obtener codigo real de verificacion (matriz perfil)
/27 - Matriz Cliente - Perfil (datos personales) | POST {{base_url}}/auth/verificar | Setup - Verificar cuenta (matriz perfil)
/27 - Matriz Cliente - Perfil (datos personales) | POST {{base_url}}/auth/login | Setup - Login (matriz perfil)
/27 - Matriz Cliente - Perfil (datos personales) | GET {{base_url}}/clientes/perfil | Setup - GET clientes/perfil, obtener id (matriz perfil)
/27 - Matriz Cliente - Perfil (datos personales) | PUT {{base_url}}/clientes/perfil | Perfil Cliente - nombre vacio
/27 - Matriz Cliente - Perfil (datos personales) | PUT {{base_url}}/clientes/perfil | Perfil Cliente - nombre formato invalido (numeros)
/27 - Matriz Cliente - Perfil (datos personales) | PUT {{base_url}}/clientes/perfil | Perfil Cliente - nombre formato invalido (caracteres especiales)
/27 - Matriz Cliente - Perfil (datos personales) | PUT {{base_url}}/clientes/perfil | Perfil Cliente - nombre limite superior exacto (100 caracteres, debe aceptar)
/27 - Matriz Cliente - Perfil (datos personales) | PUT {{base_url}}/clientes/perfil | Perfil Cliente - nombre por encima del limite (101 caracteres, debe rechazar)
/27 - Matriz Cliente - Perfil (datos personales) | PUT {{base_url}}/clientes/perfil | Perfil Cliente - apellido vacio
/27 - Matriz Cliente - Perfil (datos personales) | PUT {{base_url}}/clientes/perfil | Perfil Cliente - apellido formato invalido (numeros)
/27 - Matriz Cliente - Perfil (datos personales) | PUT {{base_url}}/clientes/perfil | Perfil Cliente - apellido formato invalido (caracteres especiales)
/27 - Matriz Cliente - Perfil (datos personales) | PUT {{base_url}}/clientes/perfil | Perfil Cliente - apellido limite superior exacto (100 caracteres, debe aceptar)
/27 - Matriz Cliente - Perfil (datos personales) | PUT {{base_url}}/clientes/perfil | Perfil Cliente - apellido por encima del limite (101 caracteres, debe rechazar)
/27 - Matriz Cliente - Perfil (datos personales) | PUT {{base_url}}/clientes/perfil | Perfil Cliente - telefono vacio
/27 - Matriz Cliente - Perfil (datos personales) | PUT {{base_url}}/clientes/perfil | Perfil Cliente - telefono formato invalido (sin prefijo +549)
/27 - Matriz Cliente - Perfil (datos personales) | PUT {{base_url}}/clientes/perfil | Perfil Cliente - telefono formato invalido (cantidad de digitos incorrecta)
/27 - Matriz Cliente - Perfil (datos personales) | PUT {{base_url}}/clientes/perfil | Perfil Cliente - telefono con separadores (espacios y guiones, sanitiza y acepta)
/27 - Matriz Cliente - Perfil (datos personales) | PUT {{base_url}}/clientes/perfil | Perfil Cliente - restaurar valores validos tras la matriz
/28 - Matriz Cliente - Cambio de password desde perfil | POST {{base_url}}/auth/cambiar-password | Cambiar password perfil - passwordActual vacia
/28 - Matriz Cliente - Cambio de password desde perfil | POST {{base_url}}/auth/cambiar-password | Cambiar password perfil - passwordNueva vacia
/28 - Matriz Cliente - Cambio de password desde perfil | POST {{base_url}}/auth/cambiar-password | Cambiar password perfil - passwordNueva sin mayuscula
/28 - Matriz Cliente - Cambio de password desde perfil | POST {{base_url}}/auth/cambiar-password | Cambiar password perfil - passwordNueva sin numero
/28 - Matriz Cliente - Cambio de password desde perfil | POST {{base_url}}/auth/cambiar-password | Cambiar password perfil - passwordNueva limite inferior menos uno (7 caracteres)
/28 - Matriz Cliente - Cambio de password desde perfil | POST {{base_url}}/auth/cambiar-password | Cambiar password perfil - passwordNueva 73 caracteres (sin @Size explicito en este DTO a diferencia del registro, ver auditoria Parte 3 punto 4 - mensaje generico de complejidad)
/28 - Matriz Cliente - Cambio de password desde perfil | POST {{base_url}}/auth/registro/cliente | Setup - Registro Cliente para password 72 caracteres (matriz perfil)
/28 - Matriz Cliente - Cambio de password desde perfil | GET {{base_url}}/test/token?email=postman.matrizperfilpw72@bajonea.test&tipo=VERIFICACION_EMAIL | Setup - Obtener codigo real de verificacion (matriz pw72)
/28 - Matriz Cliente - Cambio de password desde perfil | POST {{base_url}}/auth/verificar | Setup - Verificar cuenta (matriz pw72)
/28 - Matriz Cliente - Cambio de password desde perfil | POST {{base_url}}/auth/login | Setup - Login (matriz pw72)
/28 - Matriz Cliente - Cambio de password desde perfil | POST {{base_url}}/auth/cambiar-password | Cambiar password perfil - passwordNueva limite superior exacto (72 caracteres, debe aceptar)
/29 - Matriz Cliente - Foto de perfil (Usuario) | PATCH {{base_url}}/usuarios/{{matriz_perfil_usuario_id}}/foto-perfil | Foto perfil Usuario - url vacia
/29 - Matriz Cliente - Foto de perfil (Usuario) | PATCH {{base_url}}/usuarios/{{matriz_perfil_usuario_id}}/foto-perfil | Foto perfil Usuario - url host invalido (no es res.cloudinary.com)
/29 - Matriz Cliente - Foto de perfil (Usuario) | PATCH {{base_url}}/usuarios/{{matriz_perfil_usuario_id}}/foto-perfil | Foto perfil Usuario - url extension invalida (.pdf)
/29 - Matriz Cliente - Foto de perfil (Usuario) | PATCH {{base_url}}/usuarios/{{matriz_perfil_usuario_id}}/foto-perfil | Foto perfil Usuario - url esquema invalido (http en vez de https)
/29 - Matriz Cliente - Foto de perfil (Usuario) | PATCH {{base_url}}/usuarios/{{matriz_perfil_usuario_id}}/foto-perfil | Foto perfil Usuario - url limite superior exacto (500 caracteres, debe aceptar)
/29 - Matriz Cliente - Foto de perfil (Usuario) | PATCH {{base_url}}/usuarios/{{matriz_perfil_usuario_id}}/foto-perfil | Foto perfil Usuario - url por encima del limite (501 caracteres, debe rechazar con 400)
/29 - Matriz Cliente - Foto de perfil (Usuario) | PATCH {{base_url}}/usuarios/{{matriz_perfil_usuario_id}}/foto-perfil | Foto perfil Usuario - url valida (debe aceptar)
/29 - Matriz Cliente - Foto de perfil (Usuario) | POST {{base_url}}/auth/registro/cliente | Setup - Registro Cliente ajeno (matriz perfil, tenant isolation)
/29 - Matriz Cliente - Foto de perfil (Usuario) | GET {{base_url}}/test/token?email=postman.matrizperfilajeno@bajonea.test&tipo=VERIFICACION_EMAIL | Setup - Obtener codigo real de verificacion (matriz ajeno)
/29 - Matriz Cliente - Foto de perfil (Usuario) | POST {{base_url}}/auth/verificar | Setup - Verificar cuenta (matriz ajeno)
/29 - Matriz Cliente - Foto de perfil (Usuario) | POST {{base_url}}/auth/login | Setup - Login (matriz ajeno)
/29 - Matriz Cliente - Foto de perfil (Usuario) | PATCH {{base_url}}/usuarios/{{matriz_perfil_usuario_id}}/foto-perfil | [negativo] Foto perfil Usuario - otro usuario intenta editar la foto de este id (debe dar 404, no 403)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/auth/registro/cliente | Setup - Registro Cliente (matriz carrito)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | GET {{base_url}}/test/token?email=postman.matrizcarrito@bajonea.test&tipo=VERIFICACION_EMAIL | Setup - Obtener codigo verificacion Cliente (matriz carrito)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/auth/verificar | Setup - Verificar Cliente (matriz carrito)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/auth/login | Setup - Login Cliente (matriz carrito)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/auth/registro/comercio | Setup - Registro Comercio (matriz carrito)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | GET {{base_url}}/test/token?email=postman.matrizcomerciocarrito@bajonea.test&tipo=VERIFICACION_EMAIL | Setup - Obtener codigo verificacion Comercio (matriz carrito)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/auth/verificar | Setup - Verificar Comercio (matriz carrito)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/auth/login | Setup - Login Comercio (matriz carrito)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | GET {{base_url}}/administrador/comercios/pendientes | Setup - Admin: listar comercios pendientes (matriz carrito)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | PUT {{base_url}}/administrador/comercios/{{matriz_carrito_comercio_id}}/resolver | Setup - Admin: aprobar Comercio (matriz carrito)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/categorias | Setup - Crear categoria (matriz carrito)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/productos | Setup - Crear producto (matriz carrito)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/carrito/items | Carrito alta - cantidad vacia (null)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/carrito/items | Carrito alta - cantidad limite inferior menos uno (0, debe rechazar)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/carrito/items | Carrito alta - cantidad limite inferior exacto (1, debe aceptar)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | DELETE {{base_url}}/carrito | Carrito alta - vaciar carrito (cleanup entre casos)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/carrito/items | Carrito alta - cantidad limite superior exacto (20, debe aceptar)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | DELETE {{base_url}}/carrito | Carrito alta - vaciar carrito (cleanup entre casos) 2
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/carrito/items | Carrito alta - cantidad limite superior mas uno (21, debe rechazar)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/carrito/items | Carrito alta - productoId vacio (null)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/carrito/items | Carrito alta - nota limite superior exacto (255 caracteres, debe aceptar)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | DELETE {{base_url}}/carrito | Carrito alta - vaciar carrito (cleanup entre casos) 3
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/carrito/items | Carrito alta - nota por encima del limite (256 caracteres, debe rechazar)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | POST {{base_url}}/carrito/items | Carrito alta - nota vacia (opcional, debe aceptar)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | PUT {{base_url}}/carrito/items/{{matriz_carrito_item_id}} | Carrito editar cantidad - vacia (null)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | PUT {{base_url}}/carrito/items/{{matriz_carrito_item_id}} | Carrito editar cantidad - limite inferior menos uno (0, debe rechazar)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | PUT {{base_url}}/carrito/items/{{matriz_carrito_item_id}} | Carrito editar cantidad - limite inferior exacto (1, debe aceptar)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | PUT {{base_url}}/carrito/items/{{matriz_carrito_item_id}} | Carrito editar cantidad - limite superior exacto (20, debe aceptar)
/30 - Matriz Cliente - Carrito (alta y edicion de cantidad) | PUT {{base_url}}/carrito/items/{{matriz_carrito_item_id}} | Carrito editar cantidad - limite superior mas uno (21, debe rechazar)
/31 - Matriz Cliente - Checkout | POST {{base_url}}/pedidos/cliente | Checkout - tipoEntrega vacio (null)
/31 - Matriz Cliente - Checkout | POST {{base_url}}/pedidos/cliente | Checkout - tipoEntrega fuera del enum (falla en la deserializacion JSON, antes de Bean Validation)
/31 - Matriz Cliente - Checkout | POST {{base_url}}/pedidos/cliente | Checkout - DOMICILIO sin direccionId (debe rechazar, regla de negocio)
/31 - Matriz Cliente - Checkout | POST {{base_url}}/pedidos/cliente | Checkout - RETIRO valido (debe aceptar, consume el carrito de este bloque)
/31 - Matriz Cliente - Checkout | POST {{base_url}}/auth/registro/comercio | Setup - Registro Comercio sin delivery (matriz carrito)
/31 - Matriz Cliente - Checkout | GET {{base_url}}/test/token?email=postman.matrizcomerciosindelivery@bajonea.test&tipo=VERIFICACION_EMAIL | Setup - Obtener codigo verificacion Comercio sin delivery (matriz carrito)
/31 - Matriz Cliente - Checkout | POST {{base_url}}/auth/verificar | Setup - Verificar Comercio sin delivery (matriz carrito)
